Frame ID;z-pass;min-max-reduction;Cascade render;Render;Whole Frame
16;9,4319;9,47974;17,3016;27,9597;64,17294
17;8,04659;8,09382;12,29;21,914;50,34441
18;7,964;8,01085;12,2394;23,8775;52,09175
19;8,46874;8,51568;13,0973;22,8637;52,94542
20;8,40298;8,45043;12,8719;23,6429;53,36821
21;8,16512;8,21194;12,9764;22,0535;51,40696
22;8,36182;8,40874;13,2987;22,37;52,43926
23;9,55843;9,60605;15,4673;24,3332;58,96498
24;11,4843;11,5312;18,4663;32,3953;73,8771
25;8,68211;8,7289;16,0527;26,2238;59,68751
26;13,3051;13,3523;21,0348;30,1248;77,817
27;7,4256;7,47283;14,077;26,0121;54,98753
28;12,8133;12,8606;22,6204;36,4531;84,7474
29;8,04003;8,08669;14,9248;24,541;55,59252
30;9,23757;9,28502;15,5164;30,1827;64,22169
31;12,3206;12,3685;19,2113;28,4225;72,3229
32;8,93011;8,97718;14,2525;28,0676;60,22739
33;8,52474;8,57171;13,6558;23,085;53,83725
34;8,51299;8,56;16,1605;27,5488;60,78229
35;12,2782;12,3252;18,8695;30,6378;74,1107
36;8,45446;8,50176;13,9415;23,0476;53,94532
37;9,47808;9,52413;14,7147;23,4068;57,12371
38;12,197;12,2442;17,9867;29,1622;71,5901
39;12,2833;12,3304;17,3615;30,2554;72,2306
40;14,9688;15,0158;22,6102;34,7295;87,3243
41;12,14;12,1866;17,0529;25,7278;67,1073
42;8,80058;8,84742;13,6554;22,5729;53,8763
43;10,7089;10,7561;19,159;33,882;74,506
44;10,0829;10,1298;15,3444;27,287;62,8441
45;9,17981;9,2265;14,6601;27,4665;60,53291
46;11,869;11,9167;20,7438;35,0846;79,6141
47;12,6314;12,6785;19,246;31,5907;76,1466
48;8,5704;8,61747;14,2706;23,0946;54,55307
49;10,5977;10,6453;16,9403;32,1243;70,3076
50;11,0739;11,1211;17,5145;30,558;70,2675
51;9,02243;9,06922;14,2065;27,3124;59,61055
52;9,16301;9,2104;14,2201;22,9079;55,50141
53;8,58026;8,62685;14,0063;24,5408;55,75421
54;8,90832;8,95523;14,2192;22,8576;54,94035
55;13,8585;13,9057;19,3108;33,2164;80,2914
56;9,80502;9,85171;13,4779;26,0514;59,18603
57;5,96074;6,00819;12,6144;21,2661;45,84943
58;5,67453;5,72189;14,6919;25,4639;51,55222
59;5,23411;5,28192;11,0468;20,7362;42,29903
60;5,44339;5,4905;10,6972;20,5478;42,17889
61;7,48669;7,5351;14,4104;22,4847;51,91689
62;5,01475;5,06214;11,1375;23,4757;44,69009
63;7,21789;7,26554;12,1432;20,5679;47,19453
64;8,24512;8,29306;14,7613;23,0188;54,31828
